year,item_id,item_name,source_subcategory,source_category,source_file,pricing_ids,rule_ids,area,subarea,catop,subcatop,confidence,notes
2026,BUSQUEDA_TESORO,Busqueda de tesoro,Actividades,teambuilding_y_actividades_teambuilding,teambuilding_y_actividades_teambuilding.csv,PRICE_BUSQUEDA_TESORO_0155,,teambuilding,dinamicas_grupales,compuesto,evento,high,team-building group dynamic treated as composite activity
2026,EL_NAUFRAGO_LA_BALSA,"El Naufrago, La balsa",Actividades,teambuilding_y_actividades_teambuilding,teambuilding_y_actividades_teambuilding.csv,PRICE_EL_NAUFRAGO_LA_BALSA_0156,,teambuilding,dinamicas_grupales,compuesto,evento,high,team-building group dynamic treated as composite activity
2026,PAINTBALL,Paintball,Actividades,teambuilding_y_actividades_teambuilding,teambuilding_y_actividades_teambuilding.csv,PRICE_PAINTBALL_0154,RULE_PAINTBALL_0080,teambuilding,dinamicas_grupales,compuesto,evento,high,team-building group dynamic treated as composite activity
2026,ALMUERZO_BUFFET,Almuerzo Sugerencias del chef Buffet,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_ALMUERZO_BUFFET_0085,RULE_ALMUERZO_BUFFET_0062,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,ALMUERZO_CENA_A_LA_CARTA,Almuerzo o cena a la carta,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_ALMUERZO_CENA_A_LA_CARTA_0087,RULE_ALMUERZO_CENA_A_LA_CARTA_0064,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,ALMUERZO_CENA_A_LA_CARTA_VIP,Almuerzo o cena a la carta VIP,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_ALMUERZO_CENA_A_LA_CARTA_VIP_0088,,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,BOX_LUNCH,Box lunch,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_BOX_LUNCH_0093,,cocina,alimentacion,producto,meal_box,medium,packaged meal proposed as product-like offer
2026,CATA_VINOS,Cata de vinos con somelier,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_CATA_VINOS_0094,RULE_CATA_VINOS_0065,cocina,experiencias_gastronomicas,compuesto,experiencia,medium,sommelier + wines + pairing treated as composite experience
2026,CENA_BUFFET,Cena Sugerencias del chef Buffet,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_CENA_BUFFET_0086,RULE_CENA_BUFFET_0063,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,ALMUERZO_CENA_PARRILLA_LESS_30,"Cena o Almuerzo parrilla, menos de 30 pax",Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_ALMUERZO_CENA_PARRILLA_LESS_30_0090,,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,ALMUERZO_CENA_PARRILLA_MIN_30,"Cena o Almuerzo parrilla, minimo 30 pax",Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_ALMUERZO_CENA_PARRILLA_MIN_30_0089,,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,DESAYUNO,Desayuno,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_DESAYUNO_0083,,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,DESAYUNO_INCLUIDO,Desayuno incluido por alojamiento,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_DESAYUNO_INCLUIDO_0084,,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,HAMBURGUESA_BEBIDA,Hamburguesa+ Bebida,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_HAMBURGUESA_BEBIDA_0092,,cocina,alimentacion,producto,snack_unitario,medium,single meal combo proposed as product-like offer
2026,ONCE,Once,Gastronomia,precios_alimentacion_y_banqueteria,precios_alimentacion_y_banqueteria.csv,PRICE_ONCE_0091,,cocina,alimentacion,servicio,servicio_comida,high,banqueting/meal service
2026,BAR_ABIERTO_BEBIDAS_VASO_4H,Bar Abierto de bebidas en vaso por 4 horas,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BAR_ABIERTO_BEBIDAS_VASO_4H_0118,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,BAR_ABIERTO_BEBIDAS_VASO_8H,Bar Abierto de bebidas en vaso por 8 horas,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BAR_ABIERTO_BEBIDAS_VASO_8H_0119,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,BAR_ABIERTO_4H,Bar abierto 4 horas,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BAR_ABIERTO_4H_0112,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,BAR_ABIERTO_VIP_4H,Bar abierto VIP  4 horas,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BAR_ABIERTO_VIP_4H_0116,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,BAR_ABIERTO_SIN_ALCOHOL_4H,Bar abierto sin alcohol 4 horas,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BAR_ABIERTO_SIN_ALCOHOL_4H_0114,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,BARRIL_CERVEZA_30L,Barril de cerveza kuntsman torobayo 30L,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BARRIL_CERVEZA_30L_0122,,bebidas_bar,bebidas,producto,barril,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,BEBESTIBLES_ADICIONALES_SALON,Bebestibles adicionales en Salón,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BEBESTIBLES_ADICIONALES_SALON_0123,,bebidas_bar,bebidas,producto,bebida_unidad,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,BEBIDAS_LATA,Bebidas ,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_BEBIDAS_LATA_0120,,bebidas_bar,bebidas,producto,bebida_unidad,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,HORA_EXTRA_BAR_ABIERTO,Hora extra Bar abierto,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_HORA_EXTRA_BAR_ABIERTO_0113,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,HORA_EXTRA_BAR_ABIERTO_VIP,Hora extra Bar abierto Vip,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_HORA_EXTRA_BAR_ABIERTO_VIP_0117,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,HORA_EXTRA_BAR_ABIERTO_SIN_ALCOHOL,Hora extra Bar abierto sin alcohol,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_HORA_EXTRA_BAR_ABIERTO_SIN_ALCOHOL_0115,,bebidas_bar,bar_abierto,servicio,servicio_bar,high,open bar or extension is a staffed beverage service
2026,TICKET_BEBIDA_AGUA,Ticket de bebida o agua,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_TICKET_BEBIDA_AGUA_0121,,bebidas_bar,bebidas,producto,ticket,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,TICKET_CERVEZA,Ticket de cerveza,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_TICKET_CERVEZA_0110,,bebidas_bar,bebidas,producto,ticket,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,TICKET_TRAGO,Ticket de trago,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_TICKET_TRAGO_0109,,bebidas_bar,bebidas,producto,ticket,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,TICKET_TRAGO_VIP,Ticket de trago Vip,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_TICKET_TRAGO_VIP_0111,,bebidas_bar,bebidas,producto,ticket,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,VINO_CASTILLO_MOLINA,Vino Castillo Molina,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_VINO_CASTILLO_MOLINA_0124,RULE_VINO_CASTILLO_MOLINA_0072,bebidas_bar,bebidas,producto,botella,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,VINO_LAPOSTOLLE,Vino Lapostolle,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_VINO_LAPOSTOLLE_0125,RULE_VINO_LAPOSTOLLE_0073,bebidas_bar,bebidas,producto,botella,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,VINO_MARQUES_CASA_CONCHA,Vino Marques Casa Concha,Gastronomia,precios_bebidas__y_bar,precios_bebidas__y_bar.csv,PRICE_VINO_MARQUES_CASA_CONCHA_0126,RULE_VINO_MARQUES_CASA_CONCHA_0074,bebidas_bar,bebidas,producto,botella,high,ticket/beverage/bottle/barrel treated as product-like sale unit
2026,COFFEE_FULL,Coffe Full,Gastronomia,precios_coffes_y_servicios_relacionado,precios_coffes_y_servicios_relacionado.csv,PRICE_COFFEE_FULL_0131,,cocina,coffee_break,servicio,coffee_break,high,coffee break type service
2026,COFFEE_BASICO,Coffee Básico,Gastronomia,precios_coffes_y_servicios_relacionado,precios_coffes_y_servicios_relacionado.csv,PRICE_COFFEE_BASICO_0129,,cocina,coffee_break,servicio,coffee_break,high,coffee break type service
2026,COFFEE_INTERMEDIO,Coffee Intermedio,Gastronomia,precios_coffes_y_servicios_relacionado,precios_coffes_y_servicios_relacionado.csv,PRICE_COFFEE_INTERMEDIO_0130,,cocina,coffee_break,servicio,coffee_break,high,coffee break type service
2026,CABANA_6_PAX_BB,Cabaña 6 pasajeros B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_CABANA_6_PAX_BB_0100,,alojamiento,cabana,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,CABANA_7_PAX_BB,Cabaña 7 pasajeros B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_CABANA_7_PAX_BB_0101,,alojamiento,cabana,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,CABANA_8_PAX_BB,Cabaña 8 pasajeros B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_CABANA_8_PAX_BB_0102,,alojamiento,cabana,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,HABITACION_CUADRUPLE_HOTEL_BB,Habitación Cuadruple hotel B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_HABITACION_CUADRUPLE_HOTEL_BB_0098,,alojamiento,hotel,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,HABITACION_DOBLE_HOTEL_BB,Habitación Doble hotel B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_HABITACION_DOBLE_HOTEL_BB_0096,,alojamiento,hotel,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,HABITACION_QUINTUPLE_HOTEL_BB,Habitación Quintuple hotel B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_HABITACION_QUINTUPLE_HOTEL_BB_0099,,alojamiento,hotel,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,HABITACION_TRIPLE_HOTEL_BB,Habitación Triple hotel B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_HABITACION_TRIPLE_HOTEL_BB_0097,,alojamiento,hotel,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,HABITACION_SINGLE_HOTEL_BB,Habitación single hotel B&B,Hospedaje,precios_alojamiento,precios_alojamiento.csv,PRICE_HABITACION_SINGLE_HOTEL_BB_0095,,alojamiento,hotel,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,SALON_ARCOIRIS_1,Salon Arcoiris 1,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,RULE_SALON_ARCOIRIS_1_0045,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_ARCOIRIS_2,Salon Arcoiris 2,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_CHINOOK,Salon Chinook,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,RULE_SALON_CHINOOK_0040|RULE_SALON_CHINOOK_0041|RULE_SALON_CHINOOK_0042|RULE_SALON_CHINOOK_0043|RULE_SALON_CHINOOK_0044,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_COHO,Salon Coho,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,RULE_SALON_COHO_0046,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_DIRECTORIO,Salon Directorio,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_DOMO,Salon Domo,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,RULE_SALON_DOMO_0047|RULE_SALON_DOMO_0048,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_FARIO_1,Salon Fario 1,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_FARIO_2,Salon Fario 2,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_QUINCHO,Salon Quincho,Infraestructura,capacidades_maximas_salones_y__chinook,capacidades_maximas_salones_y__chinook.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_ARCOIRIS_1,Salon Arcoiris 1,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,RULE_SALON_ARCOIRIS_1_0054,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_ARCOIRIS_2,Salon Arcoiris 2,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_CHINOOK,Salon Chinook,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,RULE_SALON_CHINOOK_0049|RULE_SALON_CHINOOK_0050|RULE_SALON_CHINOOK_0051|RULE_SALON_CHINOOK_0052|RULE_SALON_CHINOOK_0053,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_COHO,Salon Coho,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,RULE_SALON_COHO_0055,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_DIRECTORIO,Salon Directorio,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_DOMO,Salon Domo,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,RULE_SALON_DOMO_0056|RULE_SALON_DOMO_0057,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_FARIO_1,Salon Fario 1,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_FARIO_2,Salon Fario 2,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,SALON_QUINCHO,Salon Quincho,Infraestructura,capacidades_maximas_salones_y__salones,capacidades_maximas_salones_y__salones.csv,,,infraestructura,salones_capacidad,recurso,locacion,high,capacity block; locational resource
2026,DIRECTORIO_DIURNO,Directorio uso diurno,Infraestructura,precios_arriendo_de_salones_audios_y_c,precios_arriendo_de_salones_audios_y_c.csv,PRICE_DIRECTORIO_DIURNO_0107,RULE_DIRECTORIO_DIURNO_0070,infraestructura,salones_arriendo,recurso,locacion,high,day-use/venue rental treated as locational resource
2026,DOMO_240_PAX,Domo para 240 personas,Infraestructura,precios_arriendo_de_salones_audios_y_c,precios_arriendo_de_salones_audios_y_c.csv,PRICE_DOMO_240_PAX_0108,RULE_DOMO_240_PAX_0071,infraestructura,salones_arriendo,recurso,locacion,high,day-use/venue rental treated as locational resource
2026,SALON_CHINOOK_DIURNO,Salon Chinook uso diurno,Infraestructura,precios_arriendo_de_salones_audios_y_c,precios_arriendo_de_salones_audios_y_c.csv,PRICE_SALON_CHINOOK_DIURNO_0103,RULE_SALON_CHINOOK_DIURNO_0066,infraestructura,salones_arriendo,recurso,locacion,high,day-use/venue rental treated as locational resource
2026,SALON_COHO_DIURNO,Salon Coho uso diurno,Infraestructura,precios_arriendo_de_salones_audios_y_c,precios_arriendo_de_salones_audios_y_c.csv,PRICE_SALON_COHO_DIURNO_0104,RULE_SALON_COHO_DIURNO_0067,infraestructura,salones_arriendo,recurso,locacion,high,day-use/venue rental treated as locational resource
2026,SALON_FARIO_DIURNO,Salon Fario uso diurno,Infraestructura,precios_arriendo_de_salones_audios_y_c,precios_arriendo_de_salones_audios_y_c.csv,PRICE_SALON_FARIO_DIURNO_0105,RULE_SALON_FARIO_DIURNO_0068,infraestructura,salones_arriendo,recurso,locacion,high,day-use/venue rental treated as locational resource
2026,SALON_ARCOIRIS_DIURNO,Salón Arcoiris uso diurno,Infraestructura,precios_arriendo_de_salones_audios_y_c,precios_arriendo_de_salones_audios_y_c.csv,PRICE_SALON_ARCOIRIS_DIURNO_0106,RULE_SALON_ARCOIRIS_DIURNO_0069,infraestructura,salones_arriendo,recurso,locacion,high,day-use/venue rental treated as locational resource
2026,CAMBIO_MONTAJE_CHINOOK,Cambio de montaje Chinook,Infraestructura,precios_block_1,precios_block_1.csv,PRICE_CAMBIO_MONTAJE_CHINOOK_0127,,operacional,montaje,servicio,ajuste_operativo,medium,mounting change treated as operational service
2026,CAMBIO_MONTAJE_COHO,Cambio de montaje Coho,Infraestructura,precios_block_1,precios_block_1.csv,PRICE_CAMBIO_MONTAJE_COHO_0128,,operacional,montaje,servicio,ajuste_operativo,medium,mounting change treated as operational service
2026,COMEDOR_VIP_FOGATA_4H,Comedor VIP con fogata 4h,Infraestructura,precios_comedor_vip_y_terraza_2do_piso,precios_comedor_vip_y_terraza_2do_piso.csv,PRICE_COMEDOR_VIP_FOGATA_4H_0132,,infraestructura,espacios_experiencia,servicio,uso_espacio,medium,space-use experience with setup/fogata
2026,ALMUERZO_BUFFET,Almuerzo Sugerencias del chef Buffet,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,,,cocina,alimentacion,servicio,servicio_comida,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,BAR_ABIERTO_VIP_4H,Bar abierto VIP 4 horas,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,PRICE_BAR_ABIERTO_VIP_4H_0079,,bebidas_bar,bar_abierto,servicio,servicio_bar,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,BEBIDAS_LATA,Bebidas Lata CCU,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,PRICE_BEBIDAS_LATA_0074,,bebidas_bar,bebidas,producto,ticket,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,CENA_BUFFET,Cena Sugerencias del chef Buffet,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,PRICE_CENA_BUFFET_0073,RULE_CENA_BUFFET_0058|RULE_CENA_BUFFET_0059,cocina,alimentacion,servicio,servicio_comida,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,DJ_4H,DJ por 4 horas,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,PRICE_DJ_4H_0081,,operacional,tecnica_eventos,servicio,soporte_tecnico,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,DESAYUNO,Desayuno,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,,,cocina,alimentacion,servicio,servicio_comida,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,DESAYUNO_INCLUIDO,Desayuno incluido por alojamiento,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,,,cocina,alimentacion,servicio,servicio_comida,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,HABITACION_SINGLE_HOTEL,Habitación single hotel,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,PRICE_HABITACION_SINGLE_HOTEL_0076,,alojamiento,hotel,servicio,estadia,medium,lodging sold as stay service; underlying room remains resource
2026,NAUFRAGO_ACTIVITY,Naufrago para 12 personas,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,PRICE_NAUFRAGO_ACTIVITY_0077,,teambuilding,dinamicas_grupales,compuesto,evento,medium,source template/politica; remapped by item semantics; semantic remap from policy item
2026,PAINTBALL,Paintball para 12 personas,Politica,cotizacion_tipo_dia_1,cotizacion_tipo_dia_1.csv,PRICE_PAINTBALL_0082,RULE_PAINTBALL_0060,teambuilding,dinamicas_grupales,compuesto,evento,medium,source template/politica; remapped by item semantics; semantic remap from policy item
